1STN01 Frognerseteren 11TN0102 
1STN02 Voksenkollen 11TN0102 11TN0203  
1STN03 Lillevann 11TN0203 11TN0304
1STN04 Skogen 11TN0304 11TN0405
1STN05 Voksenlia 11TN0405 11TN0506
1STN06 Holmenkollen 11TN0506 11TN0607
1STN07 Besserud 11TN0607 11TN0708
1STN08 Midtstuen 11TN0708 11TN0809
1STN09 Skådalen 11TN0809 11TN0910
1STN10 Vettakollen 11TN0910 11TN1011
1STN11 Gråkammen 11TN1011 11TN1112
1STN12 Slemdal 11TN1112 11TN1213
1STN13 Ris 11TN1213 11TN1314
1STN14 Gaustad 11TN1314 11TN1415
1STN15 Vinderen 11TN1415 11TN1516
1STN16 Steinerud 11TN1516 11TN1617
1STN17 Frøen 11TN1617 11TN1718
1STN18 Majorstuen 11TN1718 11TN1819 12TN1811 13TN1816 14TN1821 15TN1810 15TN1823
1STN19 Nationaltheatret 11TN1819 11TN1920 12TN1912 13TN1917 14TN1922 15TN1911 15TN1924
1STN20 Stortinget 11TN1920 11TN2021 12TN2013 13TN2018 14TN2023 15TN2012 15TN2025
1STN21 Jernbanetorget 11TN2021 11TN2122 12TN2114 13TN2119 14TN2124 15TN2113 15TN2126
1STN22 Grønland 11TN2122 11TN2223 12TN2215 13TN2220 14TN2225 15TN2214 15TN2227
1STN23 Tøyen 11TN2223 11TN2324 12TN2316 13TN2321 14TN2326 15TN2315 15TN2328
1STN24 Ensjø 11TN2324 11TN2425 12TN2417 13TN2422 14TN2427
1STN25 Helsfyr 11TN2425 11TN2526 12TN2518 13TN2523 14TN2528
1STN26 Brynseng 11TN2526 11TN2627 12TN2619 13TN2624 14TN2629
1STN27 Høyenhall 11TN2627 11TN2728 14TN2730
1STN28 Manglerud 11TN2728 11TN2829 14TN2831
1STN29 Ryen 11TN2829 11TN2930 14TN2932
1STN30 Brattlikollen 11TN2930 11TN3031 14TN3033
1STN31 Karlsrud 11TN3031 11TN3132 14TN3134
1STN32 Lambertseter 11TN3132 11TN3233 14TN3235
1STN33 Munkelia 11TN3233 11TN3334 14TN3336
1STN34 Bergkrystallen 11TN3334 14TN3437
2STN01 Østerås 22TN0102
2STN02 Lijordet 22TN0102 22TN0203
2STN03 Eiksmarka 22TN0203 22TN0304
2STN04 Ekraveien 22TN0304 22TN0405
2STN05 Røa 22TN0405 22TN0506
2STN06 Hovseter 22TN0506 22TN0607
2STN07 Holmen 22TN0607 22TN0708
2STN08 Makrellbekken 22TN0708 22TN0809
2STN09 Smestad 22TN0809 22TN0910 23TN0914
2STN10 Borgen 22TN0910 22TN1011 23TN1015
2STN11 Majorstuen 22TN1011 22TN1112 12TN1811 23TN1116 24TN1121 25TN1110 25TN1123
2STN12 Nationaltheatret 22TN1112 22TN1213 12TN1912 23TN1217 24TN1222 25TN1211 25TN1224
2STN13 Stortinget 22TN1213 22TN1314 12TN2013 23TN1318 24TN1323 25TN1312 25TN1325
2STN14 Jernbanetorget 22TN1314 22TN1415 12TN2114 23TN1419 24TN1424 25TN1413 25TN1426
2STN15 Grønland 22TN1415 22TN1516 12TN2215 23TN1520 24TN1525 25TN1514 25TN1527
2STN16 Tøyen 22TN1516 22TN1617 12TN2316 23TN1621 24TN1626 25TN1615 25TN1628
2STN17 Ensjø 22TN1617 22TN1718 12TN2417 23TN1722 24TN1727
2STN18 Helsfyr 22TN1718 22TN1819 12TN2518 23TN1823 24TN1828
2STN19 Brynseng 22TN1819 22TN1920 12TN2619 23TN1924 24TN1929
2STN20 Hellerud 22TN1920 22TN2021 23TN2025
2STN21 Tveita 22TN2021 22TN2122
2STN22 Haugerud 22TN2122 22TN2223
2STN23 Trosterud 22TN2223 22TN2324
2STN24 Lindeberg 22TN2324 22TN2425
2STN25 Furuset 22TN2425 22TN2526
2STN26 Ellingsrudåsen 22TN2526
3STN01 Kolsås 33TN0102
3STN02 Hauger 33TN0102 33TN0203
3STN03 Gjettum 33TN0203 33TN0304
3STN04 Avløs 33TN0304 33TN0405
3STN05 Haslum 33TN0405 33TN0506 
3STN06 Gjønnes 33TN0506 33TN0607
3STN07 Bekkestua 33TN0607 33TN0708
3STN08 Ringstabekk 33TN0708 33TN0809
3STN09 Jar 33TN0809 33TN0910
3STN10 Bjørnsletta 33TN0910 33TN1011
3STN11 Åsjordet 33TN1011 33TN1112
3STN12 Ullernåsen 33TN1112 33TN1213
3STN13 Montebello 33TN1213 33TN1314
3STN14 Smestad 33TN1314 33TN1415 23TN0914
3STN15 Borgen 33TN1415 33TN1516 23TN1015
3STN16 Majorstuen 33TN1516 33TN1617 13TN1816 23TN1116 34TN1621 35TN1610 35TN1623
3STN17 Nationaltheatret 33TN1617 33TN1718 13TN1917 23TN1217 34TN1722 35TN1711 35TN1724
3STN18 Stortinget 33TN1718 33TN1819 13TN2018 23TN1318 34TN1823 35TN1812 35TN1825
3STN19 Jernbanetorget 33TN1819 33TN1920 13TN2119 23TN1419 34TN1924 35TN1913 35TN1926
3STN20 Grønland 33TN1920 33TN2021 13TN2220 23TN1520 34TN2025 35TN2014 35TN2027
3STN21 Tøyen 33TN2021 33TN2122 13TN2321 23TN1621 34TN2126 35TN2115 35TN2128
3STN22 Ensjø 33TN2122 33TN2223 13TN2422 23TN1722 34TN2227
3STN23 Helsfyr 33TN2223 33TN2324 13TN2523 23TN1823 34TN2328
3STN24 Brynseng 33TN2324 33TN2425 13TN2624 23TN1924 34TN2429 
3STN25 Hellerud 33TN2425 33TN2526 23TN2025
3STN26 Godlia 33TN2526 33TN2627
3STN27 Skøyenåsen 33TN2627 33TN2728
3STN28 Oppsal 33TN2728 33TN2829
3STN29 Ulsrud 33TN2829 33TN2930
3STN30 Bøler 33TN2930 33TN3031
3STN31 Bogerud 33TN3031 33TN3132
3STN32 Skullerud 33TN3132 33TN3233
3STN33 Mortensrud 33TN3233
4STN01 Vestli 44TN0102 45TN0143
4STN02 Stovner 44TN0102 44TN0203 45TN0242
4STN03 Rommen 44TN0203 44TN0304 45TN0341
4STN04 Romsås 44TN0304 44TN0405 45TN0440
4STN05 Grorud 44TN0405 44TN0506 45TN0539
4STN06 Ammerud 44TN0506 44TN0607 45TN0638
4STN07 Kalbakken 44TN0607 44TN0708 45TN0737
4STN08 Rødtvet 44TN0708 44TN0809 45TN0836
4STN09 Veitvet 44TN0809 44TN0910 45TN0935
4STN10 Linderud 44TN0910 44TN1011 45TN1034
4STN11 Vollebekk 44TN1011 44TN1112 45TN1133
4STN12 Risløkka 44TN1112 44TN1213 45TN1232
4STN13 Økern 44TN1213 44TN1314 45TN1331
4STN14 Løren 44TN1314 44TN1415
4STN15 Sinsen 44TN1415 44TN1516 45TN1517 
4STN16 Storo 44TN1516 44TN1617 45TN1618
4STN17 Nydalen 44TN1617 44TN1718 45TN1719
4STN18 UllevålStadion 44TN1718 44TN1819 45TN1807 45TN1820 
4STN19 Forskningsparken 44TN1819 44TN1920 45TN1908 45TN1921
4STN20 Blindern 44TN1920 44TN2021 45TN2009 45TN2022
4STN21 Majorstuen 44TN2021 44TN2122 14TN1821 24TN1121 34TN1621 45TN2110 45TN2123
4STN22 Nationaltheatret 44TN2122 44TN2223 14TN1922 24TN1222 34TN1722 45TN2211 45TN2224
4STN23 Stortinget 44TN2223 44TN2324 14TN2023 24TN1323 34TN1823 45TN2312 45TN2325
4STN24 Jernbanetorget 44TN2324 44TN2425 14TN2124 24TN1424 34TN1924 45TN2413 45TN2426
